ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,NEWS2,SYSTEM1.TXT,0.86667,0.95122,0.90698,1

ROUGE-1,NEWS2,SYSTEM1.TXT,0.87059,0.96732,0.91641,1

ROUGE-2,NEWS2,SYSTEM1.TXT,0.85890,0.96552,0.90909,1

ROUGE-SU4,NEWS2,SYSTEM1.TXT,0.85385,0.96382,0.90551,1

ROUGE-L,NEWS1,SYSTEM1.TXT,0.73203,0.82353,0.77509,1

ROUGE-1,NEWS1,SYSTEM1.TXT,0.72910,0.86508,0.79129,1

ROUGE-2,NEWS1,SYSTEM1.TXT,0.64685,0.77731,0.70611,1

ROUGE-SU4,NEWS1,SYSTEM1.TXT,0.65934,0.79929,0.72260,1

ROUGE-L,NEWS8,SYSTEM1.TXT,0.99390,0.99390,0.99390,1

ROUGE-1,NEWS8,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-2,NEWS8,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-SU4,NEWS8,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-L,NEWS7,SYSTEM1.TXT,0.68127,0.77376,0.72458,1

ROUGE-1,NEWS7,SYSTEM1.TXT,0.70204,0.81710,0.75521,1

ROUGE-2,NEWS7,SYSTEM1.TXT,0.59275,0.69674,0.64055,1

ROUGE-SU4,NEWS7,SYSTEM1.TXT,0.60491,0.71655,0.65602,1

ROUGE-L,NEWS9,SYSTEM1.TXT,0.68644,0.81407,0.74483,1

ROUGE-1,NEWS9,SYSTEM1.TXT,0.68000,0.83607,0.75000,1

ROUGE-2,NEWS9,SYSTEM1.TXT,0.58716,0.72934,0.65057,1

ROUGE-SU4,NEWS9,SYSTEM1.TXT,0.60000,0.75089,0.66702,1

ROUGE-L,NEWS4,SYSTEM1.TXT,0.69951,0.80226,0.74737,1

ROUGE-1,NEWS4,SYSTEM1.TXT,0.69007,0.83824,0.75697,1

ROUGE-2,NEWS4,SYSTEM1.TXT,0.60859,0.74845,0.67131,1

ROUGE-SU4,NEWS4,SYSTEM1.TXT,0.61900,0.76868,0.68576,1

ROUGE-L,NEWS3,SYSTEM1.TXT,0.68539,0.71345,0.69914,1

ROUGE-1,NEWS3,SYSTEM1.TXT,0.74383,0.76266,0.75312,1

ROUGE-2,NEWS3,SYSTEM1.TXT,0.65705,0.67657,0.66667,1

ROUGE-SU4,NEWS3,SYSTEM1.TXT,0.66667,0.68681,0.67659,1

ROUGE-L,NEWS10,SYSTEM1.TXT,0.88272,0.90506,0.89375,1

ROUGE-1,NEWS10,SYSTEM1.TXT,0.87569,0.91618,0.89548,1

ROUGE-2,NEWS10,SYSTEM1.TXT,0.84104,0.88450,0.86222,1

ROUGE-SU4,NEWS10,SYSTEM1.TXT,0.84667,0.89208,0.86878,1

ROUGE-L,NEWS6,SYSTEM1.TXT,0.73733,0.85106,0.79012,1

ROUGE-1,NEWS6,SYSTEM1.TXT,0.73182,0.84293,0.78345,1

ROUGE-2,NEWS6,SYSTEM1.TXT,0.67221,0.78177,0.72286,1

ROUGE-SU4,NEWS6,SYSTEM1.TXT,0.68706,0.80478,0.74128,1

ROUGE-L,NEWS5,SYSTEM1.TXT,0.66000,0.79200,0.72000,1

ROUGE-1,NEWS5,SYSTEM1.TXT,0.68243,0.81452,0.74265,1

ROUGE-2,NEWS5,SYSTEM1.TXT,0.61268,0.74043,0.67052,1

ROUGE-SU4,NEWS5,SYSTEM1.TXT,0.62132,0.75717,0.68255,1

