ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,NEWS2,SYSTEM1.TXT,0.86667,0.95122,0.90698,1

ROUGE-1+StopWordRemoval,NEWS2,SYSTEM1.TXT,0.87059,0.96732,0.91641,1

ROUGE-2+StopWordRemoval,NEWS2,SYSTEM1.TXT,0.85890,0.96552,0.90909,1

ROUGE-SU4+StopWordRemoval,NEWS2,SYSTEM1.TXT,0.85385,0.96382,0.90551,1

ROUGE-L+StopWordRemoval,NEWS1,SYSTEM1.TXT,0.73203,0.82353,0.77509,1

ROUGE-1+StopWordRemoval,NEWS1,SYSTEM1.TXT,0.72910,0.86508,0.79129,1

ROUGE-2+StopWordRemoval,NEWS1,SYSTEM1.TXT,0.64685,0.77731,0.70611,1

ROUGE-SU4+StopWordRemoval,NEWS1,SYSTEM1.TXT,0.65934,0.79929,0.72260,1

ROUGE-L+StopWordRemoval,NEWS8,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-1+StopWordRemoval,NEWS8,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-2+StopWordRemoval,NEWS8,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-SU4+StopWordRemoval,NEWS8,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-L+StopWordRemoval,NEWS7,SYSTEM1.TXT,0.68400,0.77376,0.72611,1

ROUGE-1+StopWordRemoval,NEWS7,SYSTEM1.TXT,0.70143,0.81667,0.75468,1

ROUGE-2+StopWordRemoval,NEWS7,SYSTEM1.TXT,0.59402,0.69849,0.64203,1

ROUGE-SU4+StopWordRemoval,NEWS7,SYSTEM1.TXT,0.60582,0.71792,0.65712,1

ROUGE-L+StopWordRemoval,NEWS9,SYSTEM1.TXT,0.68644,0.81407,0.74483,1

ROUGE-1+StopWordRemoval,NEWS9,SYSTEM1.TXT,0.68000,0.83836,0.75092,1

ROUGE-2+StopWordRemoval,NEWS9,SYSTEM1.TXT,0.58716,0.73143,0.65140,1

ROUGE-SU4+StopWordRemoval,NEWS9,SYSTEM1.TXT,0.60000,0.75312,0.66790,1

ROUGE-L+StopWordRemoval,NEWS4,SYSTEM1.TXT,0.70297,0.80226,0.74934,1

ROUGE-1+StopWordRemoval,NEWS4,SYSTEM1.TXT,0.68780,0.84431,0.75806,1

ROUGE-2+StopWordRemoval,NEWS4,SYSTEM1.TXT,0.60814,0.75633,0.67419,1

ROUGE-SU4+StopWordRemoval,NEWS4,SYSTEM1.TXT,0.61755,0.77607,0.68780,1

ROUGE-L+StopWordRemoval,NEWS3,SYSTEM1.TXT,0.68539,0.71345,0.69914,1

ROUGE-1+StopWordRemoval,NEWS3,SYSTEM1.TXT,0.74383,0.76266,0.75312,1

ROUGE-2+StopWordRemoval,NEWS3,SYSTEM1.TXT,0.65705,0.67657,0.66667,1

ROUGE-SU4+StopWordRemoval,NEWS3,SYSTEM1.TXT,0.66667,0.68681,0.67659,1

ROUGE-L+StopWordRemoval,NEWS10,SYSTEM1.TXT,0.88272,0.90506,0.89375,1

ROUGE-1+StopWordRemoval,NEWS10,SYSTEM1.TXT,0.87569,0.91618,0.89548,1

ROUGE-2+StopWordRemoval,NEWS10,SYSTEM1.TXT,0.84104,0.88450,0.86222,1

ROUGE-SU4+StopWordRemoval,NEWS10,SYSTEM1.TXT,0.84667,0.89208,0.86878,1

ROUGE-L+StopWordRemoval,NEWS6,SYSTEM1.TXT,0.74074,0.85106,0.79208,1

ROUGE-1+StopWordRemoval,NEWS6,SYSTEM1.TXT,0.72936,0.84800,0.78422,1

ROUGE-2+StopWordRemoval,NEWS6,SYSTEM1.TXT,0.67386,0.79155,0.72798,1

ROUGE-SU4+StopWordRemoval,NEWS6,SYSTEM1.TXT,0.68643,0.81261,0.74421,1

ROUGE-L+StopWordRemoval,NEWS5,SYSTEM1.TXT,0.66443,0.79200,0.72263,1

ROUGE-1+StopWordRemoval,NEWS5,SYSTEM1.TXT,0.68136,0.81048,0.74033,1

ROUGE-2+StopWordRemoval,NEWS5,SYSTEM1.TXT,0.61484,0.74043,0.67181,1

ROUGE-SU4+StopWordRemoval,NEWS5,SYSTEM1.TXT,0.62288,0.75627,0.68312,1

